antaleček;sudík, bečočka
antalek;sudok
antaloček;malý sud, hordovík
antalok;sud, bečka, bočka,
antifijater;amfiteáter
antifoni;proroctvá
antlager;pomocný robotník
antlagerovac;vykonávať pomocnú
antrageri;tráky
antrogere;traky
anty;anton
antykrist;neveriaci
antylopa;zviera z afriky
anuĺka;anička
anzug;oblek
anzuk;kabát
apa;otec, tatko,
apa;otec
aparat;fotoaparát
apateka;liek, medicína,
apatička;leárnička
apatieka;lekáreň
apatiekar;lekárnik
apatika;lekáreň
apatikar;lekárnik
apatikarečka;lekárnička
apatikareň;lekáreň
apatikarka;manželka lekárnnika
apatikarr;lekárník
apatiki;lekárne
apatyka;lekáreň
apces;podpätok
apcesi;opätky,
apcesik;podpätok,
apcesy;podpätky
apčo;tatík, otecko,
apečko;tatík, otecko
apelacija;odvolanie, výzva,
apelovac;upozorňovať
apeloval;odvolaval sa
apenko;otec, otecko,
apetični;chutný
apetik;chuť do jedla,
apetitni;chutný
apetitnii;chutný
apicakokothovnoskure;skdvgudfvghfgv
apiček;tatík, otecko,
apka;tatík, otecko,
apko;otec
apko;tatko, otecko
apkovi;tatkovi, otcovi
apo;otec
apočko;tatík, otecko
apovi;otcovi
apriľ;apríl
apriĺ;názov 4. mesiaca
apsolvenci;absolventi
apsolvovac;absolvovať
apsorbovac;poltiť
apsorbuja;absorbujú
apštok;časť voza,
aptieka;lekáreň,
apu,apuko,apuka;otec
apuś;tatík, otecko,
apuśko;tatík, otecko,
ar;plošná miera
ara;pozor
arab;plemeno koňa
arafatka;šatka (čb.)
arafatočka;šatka, symbol
arańa;ženské meno
araňa;zlatica, aurélia,
aranč;pomaranč
arańka;ženské meno
araňka;zlatko, aurelka,
araňuška;zlatičko, aurelka,
araska;rasca
araška;rasca
arc;paj popis
archaňďel;archaniel
archangel;archaniel
archangeli;archanieli
archangelske;archanielské
arcipijak;veľký pijan
ardza;korózia
ardzaa;hrdza
ardzavec;hrdzavieť
ardzaveja;hrdzavejú
ardzaveňe;hrdzavenie
ardzavi;hrdzavý
ardzavic;hrdzavieť
ardzavja še;hrdzavejú
ardzavosc;hrdzavosť
ardzavy;hrdzavý
arend;nájom
arenda;nájom
arendaš;podnájomník
arendašik;podnájomníček
arendečka;nájom
arendoš;arendátor, nájomník,
arendovaňe;najímanie
arešt;väznica
arešťanka;dozorkyňa vo väznici
areštant;väzeň
areštbaba;paj areštanka,
areštik;väzenie,
areštman;dozorca vo väznici
areštovac;väzniť,
arišton;hracia skrinka
armales;listina
armovac;armovať
armovače;armovači
armovaný;okovaný
armuja;armujú
armuval;vystužovať
asa;hibaj, poďho,
asandrogi;traky
asandrogy;traky
asantragľe;traky
asekuracija;poistka
asekurant;poisťovak,
asekurovac;poistiť,
asent;pať asentirka,
asentirečka;vyzliekanie očami
asentirka;odvod na vojnu
asentírka;odvod
asentirovac;preverovať za
asentýrka;odvod
asentyrka;odvod
asfaltka;hradská,
asik;asi
asmoňďa;pozri popis
asomtragľe;traky
asomtragy;traky
asomtraki;traky na nohavice
asontragi;traky
aspeĺ;motovidlo
asperin;paj aspirin
aspirin;acylpirín
aspoňkus;celkom málo
astakuťafajat;nadávka
astrab,jaštrab;jastrab
astratika;kvet, rastlina,
astrjab;jastrab
asuntragi;traky, plesnice na
aš;až
aš aš;priveľa,
ašnaslavu;viac než dosť
ašov;rýľ,
aštrab;jastrab
atlas;druh hodvábu
atlaska;šatka z hodvábu,
atrapa;napodobenina
atres;adresa
atresa;adresa
atresaci;adresáti
atresatu;adresatovi
atresne;adresne
atresovac;adresovať
atresuja;adresujú
august;klavn, šašo
augustdumer;hlúpý klaun
aušus;brak
auto;osobne auto
automat;druh zbrane,
auzac;podnos na tortu
auzacik;podnos na tortu
auzlačik;okno, výkladík
auzlag;výkladná skriňa
auzlak;víklad
avašistie;zatruchlina
avatar;?
avgust;klaun, šašo
avizer;oznamovač služby
avizirovac;hlásiť, vopred hlási
avizo;výzva, upozornenie,
avizung;upozornenie
avšus;podradná kvalita
avtačik;autičko
avťak;auto
avťaki;autá
avzac;podnos na kolače
azapád;nadávka
azapád !;otca ti!
azda;hadam
azdahej;asi áno
azdaĺ;snáď, azda, možno,
azdane;asi nie
azumtrágy;česk=šle
azuntragi;traky, plecnice na
až pre slavu;viac než dosť
ažaž;dosť veľa
ažbice;až by ťa
ažona;?
ažúrka;ažúr
ba;niečo škaredé,
ba co;udiv
baba;mama matky
baba;pôrodná asistentka
baba;stará mama
baba;pozri popis
babaa;handra ovinutá na
babajaga;ježibaba
babarnička;zátka od flaše
babča;stará matka
babči ľisce;skorocel širokolistý
babe;babke,žene
babečka;babička
babej;sukničkár,
babeucho;skorocel
babica;porodná asistentka
babič;sukničkár,
babička;pôrodná asistentka
babilonka;lienka,
babin;súvisiaci s babičkou
babin pes;chlpatá húsenica
babiňec;predsieň v kostole
babinec;vstupná časť kostola
babinka;babička
babinpes;chlpatá húsenica
babisko;silná žena
babiśčo;pej. veľká žena,
babizńa;žena
babizna;manželkino veno
babiźńa;žena
babjanki;kôpky ďateliny
babjar;jedinec dávajúci
babjarik;jedinec dávajúci
babka;nakova na kutie kosy
babka;babička
babka;drobná nákovka
babo;babka
babočka;babička
babočka;obviazaný prst
babofka;babovka
babom;ženám,babkám
babon;magia, tmarstvo,
babona;povera, čarovačka,
babona;bosorka
babońar;čarodejník
baboňar;čarodejník, porabiač
babońaric;bosorovať, čarovať,
babońarstvo;povery, tmárstvo,
babonaš;poverčivý človek
babonbaba;pať banońar
baboni;bosorenia
babońi;čaruje, bosoruje,
babońic;čarovať
babońista;čarodejník
babonstvo;čarovanie
baboństvo;čary, povera,
babove;babkine
babovečka;babovka, koláč,
babovi;babke
babovita;tučná babka
babovizeń;veno ženy
babovizńa;veno ženy
babovka;pozri popis
babovo;babine
babrac;babrať
babrac;zašpiniť, znečistiť,
babrac še;robiť niečo
babraci;nešikovný
babračik;fušerík,
babračka;piplava práca,
babračka;babraňa (žena)
babraja;babrú sa
babrák;nešikovný, fušer
babrak;všetko zle urobí
babrańina;nevzhľadná,
babravi;zdĺhavý, komplikovan
babroňic še;babrať sa
babros;nesika
babroš;nešika
babroš;babrák
babrošík;fušer, nešika
babruĺa;babraňa (žena)
babrunka;chrobák lienka,
babska duša;rastlina - bodliak
babske;ženské,babské
babufka;bábovka
babuľa;bábätko, bejby
babuľatý;pozri popis
babunic;motať sa
babuńic;bosorovať, čarovať,
babuństvo;povera, tmárstvo,
babuša;stará matka ,babka
babuśa;babička,
babuśicśe;zatepliť sa zakrútiť
babuvečka;babovka, koláč,
babuvka;bábovka
bac;najčastejšie uder
bac še;báť sa
baceľak;nepričetný
baceĺicśe,beceĺic;hlúpo sa na niečo
bacha;daj pozor!
bachar;dozorca vo väznici
bacharka;dozorkyňa vo väznici
bacher;bachor
bachňa;buchnú
bachnuc;udrieť sa, spadnúť,
bachnuť;udrieť
bachor;pivné brucho
bachorek;pivné bruško
bachorina;vnútornosti zvieraťa
bachorr;časť žalúdka
bachrati;bruchatý
bachraty;vyžratý
bachtar;strážnik
bachtareň;stražnica
bachtaric;stražiť
bachtereň;stráž.búdka na želez
bachterňa;strážna veža
bacik;ujo
baciľonošič;bacilonosíč
backac;klať sa čelami,
bacnuc;udrieť čelom
bacśe;mať pocit strachu,
bacuľati;pri tele,tučnejší
bač;pozri, kukaj, smoť
bača;pastier na salaši
bačečka, hordovik;malý sud,
bačena;druh hry
bačeńe;paj bačena
bačeńe;pozor
bačenie;páčenie
bačenik;druh hry
bači;ujo
báči;oslovenie
báči;viď bači
bačic;tušiť
bačic;badať
bačic še;páčiť sa
bačicc;dávať pozor,
bačičko;bačik, bači
bačii;starší najmä známy
bačik;ujo, ujko
báčik;oslovenie
bačikk;starší muž,
bačiš;vidíš
bačka;sud
bačka, hordov;sud
bačkora;topanka/stara
bačkora;druh obuvi
bačkori;krpce, obuv,
bačkory;krpce
bačkov;názov obce
bačni;ostražitý, pozorný,
bačnosc;pozri popis
bačočka;súdik
bačofski;bačovský,
bačogy;druh jedla
bačolski;prinaležiaci bačovi
bačorina;žaburince ?
bačovac;byť bačom
bačovaňe;vykonávanie remesla
bačovańe;druh hospodárenie
bačovka;bačova žena
bačufka;bačovka
bačuvka;bačovka
badac;cítiť, tušiť,
badač;druh špecialistu
badateĺ;výnalezca
badeĺ;lodyha z buriny
badelina;burina
badevňa;vaňa na kúpanie
badija;nádoba na betón
badiľ;vňať,strnisko
badiĺ;byľ rastliny,
badnička;paj zbušek,
badnička;výrobník masla
baďoček;pohárik na pálenku
badočok;plechovka
badog;plechová nádoba
badog;nádoba
badogar;pozri popis
badogar;?
baďok;pohárik na
bady;vlastne
badyľe;vyhonky-listy
badžogi;črevá
bafčac;hrať sa , baviť sa,
bafka;hra
bafkac;bafkať
bafkac še;bavkať sa
bafkaja;bafkajú
bafkaja še;bavkajú sa
bafkaňe;bafkanie fajky
bagadža;topanka
baganče;topánky
bagandža;pracovna topanka
bagandže;topánky
bagaria;topánka
bagarie;topánky
bagarije;baganče
bagarije;druh obuvi, bagandže
bagarijki;topánky z hrubej kož
bagaročki;topanočki
bagateĺ;nízke ocenennie,
bagateľizuje;zmenšuje význam
bagažija;batožina
bageľ;batoh
bagnet;bodák
bago;chrcheľ
bago;takmer bez hodnoty
bagofčar;kto žuje tabák,
bagol;žúvaci tabák,
